Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C105,C106,C108,C115,C301,C302",C_0603_1608Metric,C14663,6
0.1uF,"C202,C402",C_0805_2012Metric,C28233,2
10,R201,R_0603_1608Metric,C22859,1
100,"R102,R103,R106,R302",R_0603_1608Metric,C22775,4
100K,"R305,R401",R_0603_1608Metric,C25803,2
10K,"R101,R104,R105,R107,R301,R303,R403",R_0603_1608Metric,C25804,7
10nF,"C110,C112,C201",C_0603_1608Metric,C57112,3
10pF,C303,C_0603_1608Metric,C1634,1
10uF,C111,C_0603_1608Metric,C15849,1
10uF,"C102,C107,C109,C113,C401,C403,C404",C_0805_2012Metric,C440198,7
2.2uF,C114,C_0603_1608Metric,C23630,1
20Mhz,Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,C481408,1
22uH,L401,FNR5040S220MT,C167971,1
27nH,L201,L_0805_2012Metric,C964068,1
2N7002,Q301,SOT-23,C8545,1
33,"R108,R109,R110",R_0603_1608Metric,C23140,3
54.9K,R402,R_0603_1608Metric,C728593,1
56,"R304,R306",R_0603_1608Metric,C25196,2
8pF,"C101,C103",C_0603_1608Metric,C36508,2
AO3401A,"Q101,Q302,Q303",SOT-23,C15127,3
BZT52C16S,D104,D_SOD-323_HandSoldering,C173447,1
D_Schottky_Small,D101,D_SOD-323_HandSoldering,C191023,1
LMR16006Y,U401,SOT-23-6,C290195,1
LP2985-3.3,U105,SOT-23-5,C95414,1
MCP2518FD-xQBB,U101,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,C621395,1
NEO-8M,U201,ublox_NEO,C5119087,1
NUP2105L,D301,SOT-23,C284104,1
SS14FL,D401,D_SMA,C111580,1
SWD,J104,PinHeader_2x05_P1.27mm_Vertical_SMD,C42372555,1
TJA1462ATK/0Z,U301,HVSON8_TJA1462_NXP,C3229259,1
TLV75533PDBV,U103,SOT-23-5,C404027,1
TXB0102DCU,U102,VSSOP-8_2.3x2mm_P0.5mm,C60709,1
WS2812B-2020,"D102,D103",LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555,2
