Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,8pF,C_0603_1608Metric,125.990001,-92.675,-90.0,top
C102,10uF,C_0805_2012Metric,135.3125,-86.81,180.0,top
C103,8pF,C_0603_1608Metric,131.140001,-92.55,90.0,top
C105,0.1uF,C_0603_1608Metric,135.5175,-88.59,180.0,top
C106,0.1uF,C_0603_1608Metric,124.155,-65.75,0.0,top
C107,10uF,C_0805_2012Metric,121.91,-81.06,90.0,top
C108,0.1uF,C_0603_1608Metric,125.13,-72.03,0.0,top
C109,10uF,C_0805_2012Metric,128.12625,-80.76,90.0,top
C110,10nF,C_0603_1608Metric,101.35,-90.055,-90.0,top
C111,10uF,C_0603_1608Metric,116.44,-98.095,-90.0,top
C112,10nF,C_0603_1608Metric,123.0,-98.89,0.0,top
C113,10uF,C_0805_2012Metric,126.71,-75.24,-90.0,top
C114,2.2uF,C_0603_1608Metric,123.695,-97.26,0.0,top
C115,0.1uF,C_0603_1608Metric,128.53,-75.015,-90.0,top
C201,10nF,C_0603_1608Metric,97.65,-67.825,-90.0,top
C202,0.1uF,C_0805_2012Metric,119.2,-80.95,0.0,top
C301,0.1uF,C_0603_1608Metric,131.375,-86.65,0.0,top
C302,0.1uF,C_0603_1608Metric,124.6,-84.75,90.0,top
C303,10pF,C_0603_1608Metric,119.27,-93.41,-90.0,top
C401,10uF,C_0805_2012Metric,107.77,-91.72,180.0,top
C402,0.1uF,C_0805_2012Metric,115.75,-94.125,-90.0,top
C403,10uF,C_0805_2012Metric,108.39,-98.07,90.0,top
C404,10uF,C_0805_2012Metric,106.24,-98.07,90.0,top
D101,D_Schottky_Small,D_SOD-323_HandSoldering,115.2825,-82.34,0.0,top
D102,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,135.475,-65.0,0.0,top
D103,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,128.735,-65.0,0.0,top
D104,BZT52C16S,D_SOD-323_HandSoldering,101.05,-87.53,180.0,top
D301,NUP2105L,SOT-23,113.8225,-85.8,0.0,top
D401,SS14FL,D_SMA,105.95,-94.525,180.0,top
J104,SWD,PinHeader_2x05_P1.27mm_Vertical_SMD,142.65,-93.59,90.0,top
L201,27nH,L_0805_2012Metric,99.45,-67.75,90.0,top
L401,22uH,FNR5040S220MT,112.1,-96.9,270.0,top
Q101,AO3401A,SOT-23,100.81,-84.5225,270.0,top
Q301,2N7002,SOT-23,123.27,-93.91,270.0,top
Q302,AO3401A,SOT-23,119.02,-89.8675,90.0,top
Q303,AO3401A,SOT-23,122.52,-89.8675,90.0,top
R101,10K,R_0603_1608Metric,135.525,-85.0,0.0,top
R102,100,R_0603_1608Metric,112.36,-81.67,-90.0,top
R103,100,R_0603_1608Metric,134.735,-95.51,180.0,top
R104,10K,R_0603_1608Metric,131.92,-96.31,-90.0,top
R105,10K,R_0603_1608Metric,127.525,-78.3,0.0,top
R106,100,R_0603_1608Metric,124.43,-78.26,180.0,top
R107,10K,R_0603_1608Metric,99.8,-90.04,-90.0,top
R108,33,R_0603_1608Metric,138.45,-85.725,-90.0,top
R109,33,R_0603_1608Metric,141.5,-85.725,-90.0,top
R110,33,R_0603_1608Metric,140.0,-85.725,-90.0,top
R201,10,R_0603_1608Metric,101.875,-66.7,0.0,top
R301,10K,R_0603_1608Metric,125.81,-89.68,180.0,top
R302,100,R_0603_1608Metric,127.12,-84.28,180.0,top
R303,10K,R_0603_1608Metric,120.75,-93.42,-90.0,top
R304,56,R_0603_1608Metric,117.36,-87.065,0.0,top
R305,100K,R_0603_1608Metric,117.74,-93.41,-90.0,top
R306,56,R_0603_1608Metric,117.32,-84.73,0.0,top
R401,100K,R_0603_1608Metric,109.775,-89.78,0.0,top
R402,54.9K,R_0603_1608Metric,115.175,-90.1,90.0,top
R403,10K,R_0603_1608Metric,112.825,-89.775,180.0,top
U101,MCP2518FD-xQBB,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,134.8125,-91.9,270.0,top
U102,TXB0102DCU,VSSOP-8_2.3x2mm_P0.5mm,124.13,-68.94,90.0,top
U103,TLV75533PDBV,SOT-23-5,124.97625,-80.86,0.0,top
U105,LP2985-3.3,SOT-23-5,119.3725,-98.15,180.0,top
U201,NEO-8M,ublox_NEO,112.65,-72.7,90.0,top
U301,TJA1462ATK/0Z,HVSON8_TJA1462_NXP,127.5518,-86.964979,180.0,top
U401,LMR16006Y,SOT-23-6,112.25,-92.2625,90.0,top
Y101,20Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,128.600001,-92.6,90.0,top
